Year,PollutantID,Pollutant_Name,PlantID,Site,Easting,Northing,Operator,SectorID,Sector,Emission,Unit,Country,Datatype
2022,21,Ammonia,13584,Oak Road Chemicals Site,509400.0,431700.0,Croda Europe Ltd,10.0,Chemical industry,19.88,Tonnes,England,O
2022,21,Ammonia,13626,Dumfries,300400.0,575500.0,Dundas Chemical Company (Mosspark) Ltd,5.0,"Food, drink & tobacco industry",0.00020970576,Tonnes,Scotland,M
2022,21,Ammonia,13629,Morayhill,275045.0,849103.0,Norbord Europe Ltd,7.0,Other industries,2.06,Tonnes,Scotland,M
2022,21,Ammonia,13630,Glenlossie Distillery,321260.0,857240.0,Diageo Scotland Ltd,5.0,"Food, drink & tobacco industry",0.1,Tonnes,Scotland,M
2022,21,Ammonia,13633,Motherwell,279900.0,659900.0,Dundas Chemical Company (Mosspark) Ltd,5.0,"Food, drink & tobacco industry",0.01,Tonnes,Scotland,M
2022,21,Ammonia,13705,Erlings Works,408462.0,433332.0,Omega Proteins Ltd,5.0,"Food, drink & tobacco industry",1.2390355775544e-05,Tonnes,England,M
2022,21,Ammonia,13706,Alba Proteins,350086.0,529648.0,Omega Proteins Ltd,5.0,"Food, drink & tobacco industry",0.07,Tonnes,England,M
2022,21,Ammonia,13710,Jerusalem Farm,491586.0,370915.0,A Hughes and Son (Skellingthorpe) Ltd,5.0,"Food, drink & tobacco industry",0.16,Tonnes,England,M
2022,21,Ammonia,13739,South Molton,269802.0,125918.0,Norbord Europe Ltd,7.0,Other industries,0.41,Tonnes,England,M
2022,21,Ammonia,13749,Hexham,394655.0,564653.0,Egger (UK) Ltd,7.0,Other industries,1.64,Tonnes,England,M
2022,21,Ammonia,13810,"Phoenix Wharf, Harbour Road, Port Talbot",276124.0,187353.0,Port Talbot Stw,20.0,Water & sewerage,1.1,Tonnes,Wales,O
2022,21,Ammonia,13812,"Lake Road, Newport",334380.0,186029.0,"Kennametal UK Limited, Newport Ceramic Works",4.0,Other mineral industries,1.43,Tonnes,Wales,O
2022,21,Ammonia,13901,Duncrue Street Waste Treatment Facility,147738.0,532347.0,Irish Waste Services Ltd,20.0,Water & sewerage,1.31,Tonnes,Northern Ireland,M
2022,21,Ammonia,13940,"Thermal Plant, Kilbarchan Rd, Bridge of Weir",239326.0,664533.0,SLG Technology Ltd,6.0,"Textiles, clothing, leather & footwear",0.00086,Tonnes,Scotland,O
2022,21,Ammonia,14053,Winnington Sodium Carbonate Manufacturing Site,365050.0,374670.0,Winnington CHP Ltd,10.0,Chemical industry,19.87,Tonnes,England,O
2022,21,Ammonia,14062,Runcorn,356850.0,379610.0,BPB United Kingdom Ltd,4.0,Other mineral industries,8.06,Tonnes,England,O
2022,21,Ammonia,14063,Lincolnshire EfW Facility,493950.0,367850.0,FCC Environment (Lincolnshire) Ltd,21.0,"Waste collection, treatment & disposal",6.89,Tonnes,England,O
2022,21,Ammonia,14070,Four Ashes Energy Recovery Facility,392350.0,308340.0,Veolia ES Staffordshire Ltd,21.0,"Waste collection, treatment & disposal",5.64,Tonnes,England,O
2022,21,Ammonia,14119,Grimsby Lyocell Fibres Factory,523260.0,412670.0,Lenzing Fibres Grimsby Ltd,10.0,Chemical industry,0.3,Tonnes,England,M
2022,21,Ammonia,14146,Saltend Chemical Site,516500.0,428200.0,Vivergo Fuels Ltd,10.0,Chemical industry,0.97,Tonnes,England,M
2022,21,Ammonia,14162,Seal Sands High Temparature Incinerator,453340.0,524310.0,Fine Environmental Services Ltd,21.0,"Waste collection, treatment & disposal",0.08,Tonnes,England,M
2022,21,Ammonia,14242,Whittlesey,524700.0,297200.0,Hanson Building Products Ltd,4.0,Other mineral industries,0.00017652,Tonnes,England,M
2022,21,Ammonia,14263,Hope Works,416490.0,382450.0,Hope Construction Materials Ltd,11.0,Cement,166.7,Tonnes,England,O
2022,21,Ammonia,14296,Exeter EfW,292610.0,90490.0,Cyclerval (UK) Ltd,21.0,"Waste collection, treatment & disposal",0.58,Tonnes,England,M
2022,21,Ammonia,14305,Blackburn Meadows Renewable Energy Plant,439800.0,391600.0,E.ON Climate & Renewables UK Biomass Ltd,18.0,Major power producers,1.98,Tonnes,England,O
2022,21,Ammonia,14360,Ipswich,612300.0,249600.0,SITA Suffolk Ltd,21.0,"Waste collection, treatment & disposal",3.63,Tonnes,England,O
2022,21,Ammonia,14363,Battlefield EfW,350980.0,316180.0,Veolia ES Shropshire Ltd,21.0,"Waste collection, treatment & disposal",3.56,Tonnes,England,O
2022,21,Ammonia,14364,Kings Yard Energy Centre,537300.0,184500.0,Cofely East London Energy Ltd,19.0,Processing & distribution of natural gas,0.25,Tonnes,England,M
2022,21,Ammonia,14378,Cardiff EfW Facility,320220.0,175490.0,Viridor Waste Management Ltd,21.0,"Waste collection, treatment & disposal",6.61,Tonnes,Wales,O
2022,21,Ammonia,14423,Davidstow Creamery,213825.0,86588.0,Dairy Crest Ltd,5.0,"Food, drink & tobacco industry",0.22,Tonnes,England,M
2022,21,Ammonia,14425,Banbury,445282.0,241541.0,Jacobs Douwe Egberts OPS GB Ltd,5.0,"Food, drink & tobacco industry",0.34,Tonnes,England,M
2022,21,Ammonia,14446,Cameronbridge Distillery,334600.0,700000.0,Diageo Scotland Ltd,5.0,"Food, drink & tobacco industry",0.06,Tonnes,Scotland,M
2022,21,Ammonia,14447,Cowie,283860.0,688550.0,Norbord Europe Ltd,7.0,Other industries,2.66,Tonnes,Scotland,M
2022,21,Ammonia,14502,Seal Sands Terminal (South Site),453600.0,524500.0,Greenergy Biofuels Teesside Ltd,10.0,Chemical industry,0.01,Tonnes,England,M
2022,21,Ammonia,14556,Peterborough EfW Facility,521680.0,298990.0,Viridor Peterborough Ltd,21.0,"Waste collection, treatment & disposal",0.88,Tonnes,England,M
2022,21,Ammonia,14564,Dansom Lane Fine Chemicals Plant,510700.0,429900.0,Indivior UK Ltd,10.0,Chemical industry,0.3,Tonnes,England,M
2022,21,Ammonia,14581,Ferrybridge MF1,447500.0,424720.0,Ferrybridge MFE Ltd,18.0,Major power producers,1.11,Tonnes,England,O
2022,21,Ammonia,14587,Cauldon Cement Plant,408500.0,349600.0,Lafarge Cauldon Ltd,11.0,Cement,19.99,Tonnes,England,O
2022,21,Ammonia,14588,Ridham Biomass Power Plant,592260.0,168220.0,MVV Environment Ridham Ltd,18.0,Major power producers,0.3,Tonnes,England,M
2022,21,Ammonia,14590,Lindsey Oil Refinery,515330.0,417340.0,Total Lindsey Oil Refinery Ltd,9.0,Processing & distribution of petroleum products,0.3,Tonnes,England,M
2022,21,Ammonia,14636,Lisahally,64305.0,584537.0,Evermore Renewable Energy,18.0,Major power producers,0.3,Tonnes,Northern Ireland,M
2022,21,Ammonia,14697,Auchinleck,254723.0,621869.0,Egger (UK) Ltd,7.0,Other industries,0.42,Tonnes,Scotland,M
2022,21,Ammonia,14740,Brigg Renewable Energy Plant,498720.0,406130.0,BWSC Generation Services UK Ltd,18.0,Major power producers,1.37,Tonnes,England,O
2022,21,Ammonia,14749,Leeds RERF,432810.0,432440.0,Veolia ES Leeds Ltd,21.0,"Waste collection, treatment & disposal",3.04,Tonnes,England,O
2022,21,Ammonia,14820,Greatmoor EfW,470300.0,222400.0,Fcc Recycling (UK) Ltd,21.0,"Waste collection, treatment & disposal",1.0,Tonnes,England,M
2022,21,Ammonia,14839,Devonport EfW CHP Facility,244700.0,57400.0,Mvv Environment Devonport Ltd,21.0,"Waste collection, treatment & disposal",1.0,Tonnes,England,M
2022,21,Ammonia,14841,Wilton 11 EfW Plant,456800.0,522000.0,Suez Recycling & Recovery UK Ltd,21.0,"Waste collection, treatment & disposal",1.35,Tonnes,England,O
2022,21,Ammonia,14842,Tunstead Quarry,409620.0,375550.0,Tarmac Cement & Lime Ltd,11.0,Cement,17.06,Tonnes,England,O
2022,21,Ammonia,14856,Severnside Energy Recovery Centre,354770.0,181320.0,Suez Recycling & Recovery UK Ltd,21.0,"Waste collection, treatment & disposal",1.28,Tonnes,England,O
2022,21,Ammonia,40138,Cornwall Energy Recovery Centre,194520.0,56970.0,Suez Recycling & Recovery UK Ltd,21.0,"Waste collection, treatment & disposal",0.05,Tonnes,England,M
2022,21,Ammonia,40232,Mercia Envirecover Site,385960.0,269840.0,Severn Waste Services Ltd,21.0,"Waste collection, treatment & disposal",1.0,Tonnes,England,M
2022,21,Ammonia,40270,Low Marnham,480542.0,369449.0,J G Pears (Newark) Ltd,5.0,"Food, drink & tobacco industry",0.0007594878912,Tonnes,England,M
2022,21,Ammonia,40292,Glenavy,125471.0,529575.0,Linergy Ltd,5.0,"Food, drink & tobacco industry",1.8081932112e-05,Tonnes,Northern Ireland,M
2022,21,Ammonia,40323,Howdendyke Fertiliser Plant,475930.0,426880.0,Evergreen Garden Care UK Ltd,10.0,Chemical industry,1.31,Tonnes,England,O
2022,21,Ammonia,40367,Avonmouth Drum Incinerator Plant,351940.0,178550.0,Packcare Ltd,7.0,Other industries,0.3,Tonnes,England,M
2022,21,Ammonia,40406,Widmerpool Biomass Power Plant,465190.0,327780.0,Equitix ESI CHP (Nottingham) Ltd,26.0,Minor power producers,0.3,Tonnes,England,O
2022,21,Ammonia,40419,Beddington Energy Recovery Facility,529310.0,167260.0,VIRIDOR WASTE MANAGEMENT LTD,21.0,"Waste collection, treatment & disposal",3.26,Tonnes,England,M
2022,21,Ammonia,40464,Millerhill Recycling & Energy Recovery Centre,332240.0,670755.0,FCC Waste Services (UK) Limited,23.0,Commercial,1.29,Tonnes,Scotland,M
2022,21,Ammonia,40529,Glenfiddich Distillery,332640.0,840886.0,William Grant & Sons Distillers Ltd,5.0,"Food, drink & tobacco industry",5.807508e-05,Tonnes,Scotland,M
2022,21,Ammonia,40533,Roseisle Complex,312265.0,865505.0,Diageo Scotland Ltd,5.0,"Food, drink & tobacco industry",0.39,Tonnes,Scotland,M
